Timestamp,From_Bank,Account,To_Bank,Account_duplicated_0,Amount_Received,Receiving_Currency,Amount_Paid,Payment_Currency,Payment_Format,Is_Laundering
9/1/2022 2:03,20,80022B520,20,80022B520,21.74,US Dollar,21.74,US Dollar,Reinvestment,0
9/1/2022 2:26,20,800076800,20,8002B6180,47.86,US Dollar,47.86,US Dollar,Cheque,0
9/1/2022 2:23,20,800076800,20,8002B6180,105.89,US Dollar,105.89,US Dollar,Credit Card,0
9/1/2022 2:08,3213,8002B9130,3213,8002B9130,33.6,US Dollar,33.6,US Dollar,Reinvestment,0
9/1/2022 2:26,1208,8001D4CD0,1208,8002DB270,602.9,US Dollar,602.9,US Dollar,Cheque,0
9/1/2022 2:10,1208,8001D4CD0,1208,8002DB270,44.5,US Dollar,44.5,US Dollar,Cash,0
9/1/2022 2:23,1208,80013C440,214,800302F90,1059.95,US Dollar,1059.95,US Dollar,Cheque,0
9/1/2022 2:10,1208,80013C440,214,800302F90,1816.08,US Dollar,1816.08,US Dollar,ACH,0
9/1/2022 2:23,1208,800227FD0,1208,800227FD0,1512762.5,US Dollar,1512762.5,US Dollar,Reinvestment,0
9/1/2022 2:25,0,800331610,0,800331610,180321.98,US Dollar,180321.98,US Dollar,Reinvestment,0
9/1/2022 2:12,544,80033C960,544,80033C960,1347957.23,US Dollar,1347957.23,US Dollar,Reinvestment,0
9/1/2022 2:07,0,80032F5C0,0,80032F5C0,4.14,US Dollar,4.14,US Dollar,Reinvestment,0
9/1/2022 2:02,20,80034D230,20,80034D230,694.42,US Dollar,694.42,US Dollar,Reinvestment,0
9/1/2022 2:25,11,8003542E0,11,8003542E0,6.62,US Dollar,6.62,US Dollar,Reinvestment,0
9/1/2022 2:05,0,800356DF0,0,80035A820,47.5,US Dollar,47.5,US Dollar,Cheque,0
9/1/2022 2:20,0,800356DF0,0,80035A820,0.98,US Dollar,0.98,US Dollar,ACH,0
9/1/2022 2:19,214,800363DA0,214,800363DA0,27469.37,US Dollar,27469.37,US Dollar,Reinvestment,0
9/1/2022 2:09,20,800367230,20,800367230,1738.05,US Dollar,1738.05,US Dollar,Reinvestment,0
9/1/2022 2:22,11,800353F60,11,800353F60,16.77,US Dollar,16.77,US Dollar,Reinvestment,0
9/1/2022 2:08,0,80024A670,1208,800372100,239.57,US Dollar,239.57,US Dollar,Cheque,0
9/1/2022 2:09,0,80024A670,1208,800372100,317.39,US Dollar,317.39,US Dollar,Credit Card,0
9/1/2022 2:29,20,800380CB0,20,800380CB0,17.35,US Dollar,17.35,US Dollar,Reinvestment,0
9/1/2022 2:17,0,80036A990,214,80038D800,11520510.99,US Dollar,11520510.99,US Dollar,Cheque,0
9/1/2022 2:21,0,80036A990,214,80038D800,9029.71,US Dollar,9029.71,US Dollar,Credit Card,0
9/1/2022 2:16,0,80036A990,214,80038D800,295724.64,US Dollar,295724.64,US Dollar,Wire,0
9/1/2022 2:08,544,80034E720,20,8003915B0,4317.07,US Dollar,4317.07,US Dollar,Cheque,0
9/1/2022 2:20,544,80034E720,20,8003915B0,470.45,US Dollar,470.45,US Dollar,Credit Card,0
9/1/2022 2:05,1601,800352C40,1601,80039B720,123.39,US Dollar,123.39,US Dollar,Cheque,0
9/1/2022 2:24,1601,800352C40,1601,80039B720,108.07,US Dollar,108.07,US Dollar,Cash,0
9/1/2022 2:00,70,10042B660,1601,80039D930,513.07,US Dollar,513.07,US Dollar,Cheque,0
9/1/2022 2:13,70,10042B660,1601,80039D930,118.96,US Dollar,118.96,US Dollar,Credit Card,0
9/1/2022 2:02,70,10042B660,1601,80039D930,236.27,US Dollar,236.27,US Dollar,Cash,0
9/1/2022 2:27,20,80039FD80,20,80039FD80,4161481.11,US Dollar,4161481.11,US Dollar,Reinvestment,0
9/1/2022 2:22,20,8003BABC0,20,8003BABC0,16.64,US Dollar,16.64,US Dollar,Reinvestment,0
9/1/2022 2:21,2310,8003620B0,544,8003BC510,665.61,US Dollar,665.61,US Dollar,Cheque,0
9/1/2022 2:27,2310,8003620B0,544,8003BC510,562.45,US Dollar,562.45,US Dollar,Credit Card,0
9/1/2022 2:22,0,8003C0FE0,0,8003C0FE0,17.51,US Dollar,17.51,US Dollar,Reinvestment,0
9/1/2022 2:18,20,800126870,1601,800398D80,1472.48,US Dollar,1472.48,US Dollar,Cheque,0
9/1/2022 2:19,20,800126870,1601,800398D80,571.02,US Dollar,571.02,US Dollar,Credit Card,0
9/1/2022 2:22,20,800126870,1601,800398D80,550.79,US Dollar,550.79,US Dollar,ACH,0
9/1/2022 2:00,11,80006FD60,11,8003D1670,832.69,US Dollar,832.69,US Dollar,Cheque,0
9/1/2022 2:15,11,80006FD60,11,8003D1670,483.86,US Dollar,483.86,US Dollar,Credit Card,0
9/1/2022 2:12,11,80006FD60,11,8003D1670,669.77,US Dollar,669.77,US Dollar,Wire,0
9/1/2022 2:11,0,8003CECE0,0,8003CECE0,220407.18,US Dollar,220407.18,US Dollar,Reinvestment,0
9/1/2022 2:13,2310,8003F0A30,2310,8003F0A30,8.91,US Dollar,8.91,US Dollar,Reinvestment,0
9/1/2022 2:03,70,10042B660,2310,8003470A0,10373332.94,US Dollar,10373332.94,US Dollar,Cheque,0
9/1/2022 2:05,70,10042B660,2310,8003470A0,4820.25,US Dollar,4820.25,US Dollar,Credit Card,0
9/1/2022 2:13,70,10042B660,2310,8003470A0,1827811.4,US Dollar,1827811.4,US Dollar,Cash,0
9/1/2022 2:19,544,80041C0D0,544,80041C0D0,40955.7,US Dollar,40955.7,US Dollar,Reinvestment,0
9/1/2022 2:12,2597,800390250,544,80041C0D0,224.39,US Dollar,224.39,US Dollar,Cheque,0
9/1/2022 2:09,2597,800390250,544,80041C0D0,135.53,US Dollar,135.53,US Dollar,Credit Card,0
9/1/2022 2:08,1208,80034C740,20,80041F470,150.34,US Dollar,150.34,US Dollar,Cheque,0
9/1/2022 2:17,1208,80034C740,20,80041F470,34.36,US Dollar,34.36,US Dollar,Credit Card,0
9/1/2022 2:04,544,80042B430,544,80042B430,2068.62,US Dollar,2068.62,US Dollar,Reinvestment,0
9/1/2022 2:20,0,8001E9480,20,80043C6B0,1055.62,US Dollar,1055.62,US Dollar,Cheque,0
9/1/2022 2:16,0,8001E9480,20,80043C6B0,2005.23,US Dollar,2005.23,US Dollar,Credit Card,0
9/1/2022 2:02,0,8001E9480,20,80043C6B0,209.58,US Dollar,209.58,US Dollar,Cash,0
9/1/2022 2:19,0,8001E9480,20,80043C6B0,757.87,US Dollar,757.87,US Dollar,ACH,0
9/1/2022 2:26,0,8001E9480,20,80043C6B0,156.75,US Dollar,156.75,US Dollar,Wire,0
9/1/2022 2:25,11,8001D85E0,544,800441DA0,3528.75,US Dollar,3528.75,US Dollar,Cheque,0
9/1/2022 2:23,11,8001D85E0,544,800441DA0,10271.91,US Dollar,10271.91,US Dollar,Credit Card,0
9/1/2022 2:20,20,8003CC290,2597,80044BBD0,670204.14,US Dollar,670204.14,US Dollar,Cheque,0
9/1/2022 2:11,20,8003CC290,2597,80044BBD0,1873683.26,US Dollar,1873683.26,US Dollar,Cash,0
9/1/2022 2:03,3593,800445320,3593,800445320,135.45,US Dollar,135.45,US Dollar,Reinvestment,0
9/1/2022 2:22,20,800452010,20,800452010,17.55,US Dollar,17.55,US Dollar,Reinvestment,0
9/1/2022 2:05,718,800480C20,718,800480C20,13.71,US Dollar,13.71,US Dollar,Reinvestment,0
9/1/2022 2:11,70,10042B660,2597,8004A2F20,199.15,US Dollar,199.15,US Dollar,Cheque,0
9/1/2022 2:06,70,10042B660,2597,8004A2F20,150.04,US Dollar,150.04,US Dollar,Credit Card,0
9/1/2022 2:23,20,80033A8A0,11,800514600,9306.97,US Dollar,9306.97,US Dollar,Cheque,0
9/1/2022 2:00,20,80033A8A0,11,800514600,3048.52,US Dollar,3048.52,US Dollar,Credit Card,0
9/1/2022 2:14,1601,8004DD2B0,1601,8004DD2B0,37698.41,US Dollar,37698.41,US Dollar,Reinvestment,0
9/1/2022 2:20,3761,8004E6400,1601,8004EA050,0.06,US Dollar,0.06,US Dollar,Cheque,0
9/1/2022 2:20,3835,8004E69A0,1601,8004DD2B0,0.4,US Dollar,0.4,US Dollar,Cheque,0
9/1/2022 2:05,3646,8004E7E30,3646,8004E7E30,11009.28,US Dollar,11009.28,US Dollar,Reinvestment,0
9/1/2022 2:13,11,8004EA190,11,8004EA190,18.41,US Dollar,18.41,US Dollar,Reinvestment,0
9/1/2022 2:06,11,8004DC440,11,8004DC440,20.64,US Dollar,20.64,US Dollar,Reinvestment,0
9/1/2022 2:02,20,8005262F0,20,8005262F0,3.96,US Dollar,3.96,US Dollar,Reinvestment,0
9/1/2022 2:06,11,800525290,11,800525290,20.54,US Dollar,20.54,US Dollar,Reinvestment,0
9/1/2022 2:07,20,8005306A0,20,8005306A0,38918.69,US Dollar,38918.69,US Dollar,Reinvestment,0
9/1/2022 2:08,1831,800534500,1831,800534500,6508.11,US Dollar,6508.11,US Dollar,Reinvestment,0
9/1/2022 2:05,544,800438DD0,2310,80053CE70,115.98,US Dollar,115.98,US Dollar,Cheque,0
9/1/2022 2:07,544,800438DD0,2310,80053CE70,117.45,US Dollar,117.45,US Dollar,Credit Card,0
9/1/2022 2:10,544,800438DD0,2310,80053CE70,6.61,US Dollar,6.61,US Dollar,Cash,0
9/1/2022 2:20,544,800438DD0,2310,80053CE70,13.22,US Dollar,13.22,US Dollar,ACH,0
9/1/2022 2:15,11,8004B3A40,11,8004B3A40,317.29,US Dollar,317.29,US Dollar,Reinvestment,0
9/1/2022 2:14,1601,8004BD8B0,1601,8004BD8B0,4299.03,US Dollar,4299.03,US Dollar,Reinvestment,0
9/1/2022 2:10,544,80052F240,544,80052F240,17.87,US Dollar,17.87,US Dollar,Reinvestment,0
9/1/2022 2:25,70,10042B660,20,80055CB80,218.93,US Dollar,218.93,US Dollar,Cheque,0
9/1/2022 2:03,2310,80055E270,2310,80055E270,16.43,US Dollar,16.43,US Dollar,Reinvestment,0
9/1/2022 2:12,1818,80055FAE0,1818,80055FAE0,28514.81,US Dollar,28514.81,US Dollar,Reinvestment,0
9/1/2022 2:23,0,80055F820,0,80055F820,3.71,US Dollar,3.71,US Dollar,Reinvestment,0
9/1/2022 2:16,1208,80056C080,1208,80056C080,603.47,US Dollar,603.47,US Dollar,Reinvestment,0
9/1/2022 2:17,214,80054E6A0,214,80054E6A0,21.41,US Dollar,21.41,US Dollar,Reinvestment,0
9/1/2022 2:05,2597,8005737E0,2597,8005737E0,6.25,US Dollar,6.25,US Dollar,Reinvestment,0
9/1/2022 2:03,20,800196B90,1601,800575340,229.04,US Dollar,229.04,US Dollar,Cheque,0
9/1/2022 2:23,20,800196B90,1601,800575340,150.03,US Dollar,150.03,US Dollar,Cash,0
9/1/2022 2:25,20,800586720,20,800586720,322296.25,US Dollar,322296.25,US Dollar,Reinvestment,0
9/1/2022 2:17,1924,8005935F0,1924,8005935F0,453823.95,US Dollar,453823.95,US Dollar,Reinvestment,0
9/1/2022 2:07,2776,8005925D0,2776,8005925D0,1190.76,US Dollar,1190.76,US Dollar,Reinvestment,0
9/1/2022 2:22,20,8003CC290,2310,8005AB610,793.96,US Dollar,793.96,US Dollar,Cheque,0
9/1/2022 2:03,20,8003CC290,2310,8005AB610,173.52,US Dollar,173.52,US Dollar,Cash,0
9/1/2022 2:17,11,8003D6700,2776,8005A3A90,1332.47,US Dollar,1332.47,US Dollar,Cheque,0
9/1/2022 2:03,11,8003D6700,2776,8005A3A90,6329.47,US Dollar,6329.47,US Dollar,Credit Card,0
9/1/2022 2:09,2776,8005BB6D0,2776,8005BB6D0,6.71,US Dollar,6.71,US Dollar,Reinvestment,0
9/1/2022 2:10,70,10042B660,1922,8005BE980,37030.94,US Dollar,37030.94,US Dollar,Cheque,0
9/1/2022 2:19,718,800473D80,952,8005C9AF0,1746.62,US Dollar,1746.62,US Dollar,Cheque,0
9/1/2022 2:06,718,800473D80,952,8005C9AF0,3355.59,US Dollar,3355.59,US Dollar,Credit Card,0
9/1/2022 2:27,1208,8005C8D50,1208,8005C8D50,866.08,US Dollar,866.08,US Dollar,Reinvestment,0
9/1/2022 2:09,1818,8005CA470,1818,8005CA470,157.11,US Dollar,157.11,US Dollar,Reinvestment,0
9/1/2022 2:27,718,8005D58C0,718,8005D58C0,252623,US Dollar,252623,US Dollar,Reinvestment,0
9/1/2022 2:25,1601,8005DAF70,952,8005DA560,3852367,US Dollar,3852367,US Dollar,ACH,0
9/1/2022 2:24,544,8005DD480,544,8005DD480,1285641.24,US Dollar,1285641.24,US Dollar,Reinvestment,0
9/1/2022 2:06,0,8005DD220,0,8005DD220,3.76,US Dollar,3.76,US Dollar,Reinvestment,0
9/1/2022 2:18,0,80035A820,20,8005E8F50,827.33,US Dollar,827.33,US Dollar,Cheque,0
9/1/2022 2:25,0,80035A820,20,8005E8F50,359.03,US Dollar,359.03,US Dollar,Credit Card,0
9/1/2022 2:18,214,80041F4C0,0,8005EC370,92.33,US Dollar,92.33,US Dollar,Cheque,0
9/1/2022 2:15,214,80041F4C0,0,8005EC370,220.04,US Dollar,220.04,US Dollar,Cash,0
9/1/2022 2:07,214,80041F4C0,0,8005EC370,159.99,US Dollar,159.99,US Dollar,ACH,0
9/1/2022 2:05,741,800537610,741,800537610,6.38,US Dollar,6.38,US Dollar,Reinvestment,0
9/1/2022 2:15,0,800605E30,0,800605E30,696.36,US Dollar,696.36,US Dollar,Reinvestment,0
9/1/2022 2:27,0,800623A60,0,800623A60,340259.94,US Dollar,340259.94,US Dollar,Reinvestment,0
9/1/2022 2:08,2954,800643790,2954,800643790,535.75,US Dollar,535.75,US Dollar,Reinvestment,0
9/1/2022 2:17,2776,800643DA0,2776,800643DA0,22.9,US Dollar,22.9,US Dollar,Reinvestment,0
9/1/2022 2:09,0,80064D320,0,80064D320,10742.5,US Dollar,10742.5,US Dollar,Reinvestment,0
9/1/2022 2:05,31070,80062F870,31070,80062F870,11205.73,US Dollar,11205.73,US Dollar,Reinvestment,0
9/1/2022 2:06,70,10042B660,0,8006610D0,220.29,US Dollar,220.29,US Dollar,Cheque,0
9/1/2022 2:01,70,10042B660,0,8006610D0,971.9,US Dollar,971.9,US Dollar,Credit Card,0
9/1/2022 2:22,70,10042B660,0,8006610D0,166.86,US Dollar,166.86,US Dollar,Cash,0
9/1/2022 2:00,867,800672FA0,867,800672FA0,6.61,US Dollar,6.61,US Dollar,Reinvestment,0
9/1/2022 2:19,1601,8006743C0,1601,8006743C0,140424.41,US Dollar,140424.41,US Dollar,Reinvestment,0
9/1/2022 2:26,1924,800623F60,2954,800682320,8869.01,US Dollar,8869.01,US Dollar,Cheque,0
9/1/2022 2:29,1924,800623F60,2954,800682320,2372.75,US Dollar,2372.75,US Dollar,Cash,0
9/1/2022 2:10,1831,800688130,1831,800688130,19.64,US Dollar,19.64,US Dollar,Reinvestment,0
9/1/2022 2:27,1046,800687EA0,1046,800687EA0,1443339.95,US Dollar,1443339.95,US Dollar,Reinvestment,0
9/1/2022 2:16,0,800071D00,1601,8006B4F40,2249.27,US Dollar,2249.27,US Dollar,Cheque,0
9/1/2022 2:11,0,800071D00,1601,8006B4F40,3196.74,US Dollar,3196.74,US Dollar,Credit Card,0
9/1/2022 2:28,2776,8006D4140,2776,8006D4140,10060.18,US Dollar,10060.18,US Dollar,Reinvestment,0
9/1/2022 2:16,11032,80072E970,11032,80072E970,4014072.08,US Dollar,4014072.08,US Dollar,Reinvestment,0
9/1/2022 2:10,1601,800372500,1601,800372500,10491.09,US Dollar,10491.09,US Dollar,Reinvestment,0
9/1/2022 2:12,214,80039F680,214,80039F680,26524.43,US Dollar,26524.43,US Dollar,Reinvestment,0
9/1/2022 2:15,1924,8005B84F0,1924,8005B84F0,2269.24,US Dollar,2269.24,US Dollar,Reinvestment,0
9/1/2022 2:26,1818,80059F620,0,8001887B0,1547926,US Dollar,1547926,US Dollar,Cheque,0
9/1/2022 2:21,544,800397D10,544,800397D10,11.01,US Dollar,11.01,US Dollar,Reinvestment,0
9/1/2022 2:06,1831,80077BCC0,1831,80077BCC0,284343.31,US Dollar,284343.31,US Dollar,Reinvestment,0
9/1/2022 2:21,1046,800614B40,11032,80078A5D0,1351.85,US Dollar,1351.85,US Dollar,Cheque,0
9/1/2022 2:15,1046,800614B40,11032,80078A5D0,210.14,US Dollar,210.14,US Dollar,Credit Card,0
9/1/2022 2:18,1046,800614B40,11032,80078A5D0,403.75,US Dollar,403.75,US Dollar,ACH,0
9/1/2022 2:03,1818,8007894F0,1818,8007894F0,9.86,US Dollar,9.86,US Dollar,Reinvestment,0
9/1/2022 2:06,70,10042B660,20,8007908B0,3356.07,US Dollar,3356.07,US Dollar,Cheque,0
9/1/2022 2:20,70,10042B660,20,8007908B0,10368.8,US Dollar,10368.8,US Dollar,Cash,0
9/1/2022 2:16,3638,80079F7D0,3638,80079F7D0,108.7,US Dollar,108.7,US Dollar,Reinvestment,0
9/1/2022 2:27,0,8007AD880,0,8007AD880,81653.04,US Dollar,81653.04,US Dollar,Reinvestment,0
9/1/2022 2:27,20,800794840,20,800794840,8.57,US Dollar,8.57,US Dollar,Reinvestment,0
9/1/2022 2:23,20,8004038D0,20,8004038D0,24.16,US Dollar,24.16,US Dollar,Reinvestment,0
9/1/2022 2:16,2954,8007D79E0,2954,8007D79E0,21291.57,US Dollar,21291.57,US Dollar,Reinvestment,0
9/1/2022 2:08,1924,8007E2C20,1924,8007E2C20,125.89,US Dollar,125.89,US Dollar,Reinvestment,0
9/1/2022 2:21,0,800356280,0,8007E8250,26458.64,US Dollar,26458.64,US Dollar,Cheque,0
9/1/2022 2:12,0,800620F20,1922,80030A630,493.73,US Dollar,493.73,US Dollar,Cheque,0
9/1/2022 2:27,0,800620F20,1922,80030A630,349.28,US Dollar,349.28,US Dollar,Credit Card,0
9/1/2022 2:14,952,80030A7B0,952,80030A7B0,43867.75,US Dollar,43867.75,US Dollar,Reinvestment,0
9/1/2022 2:00,20,80034FF10,741,8007FC2F0,19.97,US Dollar,19.97,US Dollar,Cheque,0
9/1/2022 2:09,20,80034FF10,741,8007FC2F0,152.37,US Dollar,152.37,US Dollar,Credit Card,0
9/1/2022 2:21,1601,800801E30,1601,800801E30,1045.74,US Dollar,1045.74,US Dollar,Reinvestment,0
9/1/2022 2:13,2310,8008055E0,2310,8008055E0,21.23,US Dollar,21.23,US Dollar,Reinvestment,0
9/1/2022 2:16,1924,800583EA0,1818,800809140,121.56,US Dollar,121.56,US Dollar,Cheque,0
9/1/2022 2:12,1924,800583EA0,1818,800809140,78.56,US Dollar,78.56,US Dollar,Credit Card,0
9/1/2022 2:10,1924,800583EA0,1818,800809140,25.92,US Dollar,25.92,US Dollar,ACH,0
9/1/2022 2:06,1924,800583EA0,1818,800809140,18.25,US Dollar,18.25,US Dollar,Wire,0
9/1/2022 2:19,0,8003F9A20,20,80080B370,48020.97,US Dollar,48020.97,US Dollar,Cheque,0
9/1/2022 2:07,0,8003F9A20,20,80080B370,17552.92,US Dollar,17552.92,US Dollar,Credit Card,0
9/1/2022 2:01,0,8003F9A20,20,80080B370,182379.36,US Dollar,182379.36,US Dollar,Cash,0
9/1/2022 2:27,718,800480C20,20,8008535E0,757.7,US Dollar,757.7,US Dollar,Cheque,0
9/1/2022 2:27,718,800480C20,20,8008535E0,2259.88,US Dollar,2259.88,US Dollar,Credit Card,0
9/1/2022 2:10,1208,8008685A0,1208,8008685A0,607.03,US Dollar,607.03,US Dollar,Reinvestment,0
9/1/2022 2:09,0,80035B160,0,800874E30,175.47,US Dollar,175.47,US Dollar,Cheque,0
9/1/2022 2:09,0,80035B160,0,800874E30,305.86,US Dollar,305.86,US Dollar,Credit Card,0
9/1/2022 2:03,1818,8008A7230,1818,8008A7230,348072.44,US Dollar,348072.44,US Dollar,Reinvestment,0
9/1/2022 2:29,0,800674C20,2776,8008B1F10,212.85,US Dollar,212.85,US Dollar,Cheque,0
9/1/2022 2:24,0,800674C20,2776,8008B1F10,88.71,US Dollar,88.71,US Dollar,Cash,0
9/1/2022 2:24,1831,8007DF6F0,2597,8008C39B0,206.37,US Dollar,206.37,US Dollar,Cheque,0
9/1/2022 2:25,1831,8007DF6F0,2597,8008C39B0,162.44,US Dollar,162.44,US Dollar,Cash,0
9/1/2022 2:19,2776,800784660,0,8008E4A30,139.86,US Dollar,139.86,US Dollar,Cheque,0
9/1/2022 2:21,2776,800784660,0,8008E4A30,275.81,US Dollar,275.81,US Dollar,ACH,0
9/1/2022 2:02,21418,800967380,21418,800967380,13,US Dollar,13,US Dollar,Reinvestment,0
9/1/2022 2:13,1208,80042C6B0,11032,800973B50,2096.58,US Dollar,2096.58,US Dollar,Cheque,0
9/1/2022 2:19,1208,80042C6B0,11032,800973B50,3633.78,US Dollar,3633.78,US Dollar,Credit Card,0
9/1/2022 2:29,1208,80042C6B0,11032,800973B50,1987.68,US Dollar,1987.68,US Dollar,Cash,0
9/1/2022 2:03,1208,80042C6B0,11032,800973B50,5752.84,US Dollar,5752.84,US Dollar,ACH,0
9/1/2022 2:26,544,80097A710,544,80097A710,10.34,US Dollar,10.34,US Dollar,Reinvestment,0
9/1/2022 2:22,20,8009822E0,20,8009822E0,220497.35,US Dollar,220497.35,US Dollar,Reinvestment,0
9/1/2022 2:00,20,8005C45C0,20,8009822E0,296.06,US Dollar,296.06,US Dollar,Cheque,0
9/1/2022 2:01,20,8005C45C0,20,8009822E0,296.68,US Dollar,296.68,US Dollar,Credit Card,0
9/1/2022 2:22,2597,80059DB80,1924,800984C00,167.38,US Dollar,167.38,US Dollar,Cheque,0
9/1/2022 2:19,2597,80059DB80,1924,800984C00,30.32,US Dollar,30.32,US Dollar,Cash,0
9/1/2022 2:23,718,800989200,718,800989200,1470646.68,US Dollar,1470646.68,US Dollar,Reinvestment,0
9/1/2022 2:01,1208,800547BB0,1924,80098A230,10.6,US Dollar,10.6,US Dollar,Cheque,0
9/1/2022 2:01,1208,800547BB0,1924,80098A230,31.58,US Dollar,31.58,US Dollar,Cash,0
9/1/2022 2:16,718,80098A7E0,718,80098A7E0,8.86,US Dollar,8.86,US Dollar,Reinvestment,0
9/1/2022 2:00,3566,800999C20,3566,800999C20,710.78,US Dollar,710.78,US Dollar,Reinvestment,0
9/1/2022 2:02,1046,8009B4190,1046,8009B4190,7.95,US Dollar,7.95,US Dollar,Reinvestment,0
9/1/2022 2:07,20,8009FFD40,20,8009FFD40,3129.31,US Dollar,3129.31,US Dollar,Reinvestment,0
9/1/2022 2:02,1922,8009FFD90,1922,8009FFD90,18.37,US Dollar,18.37,US Dollar,Reinvestment,0
9/1/2022 2:29,1046,800A0BE40,1046,800A0BE40,50630.17,US Dollar,50630.17,US Dollar,Reinvestment,0
9/1/2022 2:16,1922,800A0C680,1922,800A0C680,9.2,US Dollar,9.2,US Dollar,Reinvestment,0
9/1/2022 2:28,2597,800A483F0,2597,800A483F0,1412933.3,US Dollar,1412933.3,US Dollar,Reinvestment,0
9/1/2022 2:27,11,800A4DD80,952,800A4E350,3365.91,US Dollar,3365.91,US Dollar,ACH,0
9/1/2022 2:29,2310,8003A52C0,1831,800A7C140,54.54,US Dollar,54.54,US Dollar,Cheque,0
9/1/2022 2:14,2310,8003A52C0,1831,800A7C140,109.14,US Dollar,109.14,US Dollar,Credit Card,0
9/1/2022 2:02,1922,80094ABE0,2310,800A7BF20,78418.61,US Dollar,78418.61,US Dollar,Cheque,0
9/1/2022 2:15,1922,80094ABE0,2310,800A7BF20,21995.89,US Dollar,21995.89,US Dollar,Credit Card,0
9/1/2022 2:16,1922,80094ABE0,2310,800A7BF20,31907.8,US Dollar,31907.8,US Dollar,ACH,0
9/1/2022 2:28,21418,800A8EE00,21418,800A8EE00,12,US Dollar,12,US Dollar,Reinvestment,0
9/1/2022 2:25,1315,800AA1500,1315,800AA1500,14.53,US Dollar,14.53,US Dollar,Reinvestment,0
9/1/2022 2:28,2597,800AD91C0,2597,800AD91C0,113452.84,US Dollar,113452.84,US Dollar,Reinvestment,0
9/1/2022 2:09,2310,800229A30,867,800AF6E50,249.28,US Dollar,249.28,US Dollar,Cheque,0
9/1/2022 2:13,2310,800229A30,867,800AF6E50,246.26,US Dollar,246.26,US Dollar,ACH,0
9/1/2022 2:23,2597,80042E480,1488,800B051F0,332600.33,US Dollar,332600.33,US Dollar,Cheque,0
9/1/2022 2:11,2597,80042E480,1488,800B051F0,25017.53,US Dollar,25017.53,US Dollar,Credit Card,0
9/1/2022 2:20,2597,80042E480,1488,800B051F0,168474.03,US Dollar,168474.03,US Dollar,Cash,0
9/1/2022 2:12,2597,80042E480,1488,800B051F0,561640.58,US Dollar,561640.58,US Dollar,ACH,0
9/1/2022 2:01,0,8005D2630,718,800B25D50,105.34,US Dollar,105.34,US Dollar,Cheque,0
9/1/2022 2:07,0,8005D2630,718,800B25D50,157.71,US Dollar,157.71,US Dollar,Credit Card,0
9/1/2022 2:16,2597,800B4C8A0,2597,800B4C8A0,495996.95,US Dollar,495996.95,US Dollar,Reinvestment,0
9/1/2022 2:07,0,800B5A2F0,0,800B5A2F0,11.58,US Dollar,11.58,US Dollar,Reinvestment,0
9/1/2022 2:26,1208,800304250,1315,800BAABF0,34.73,US Dollar,34.73,US Dollar,Cheque,0
9/1/2022 2:14,1922,800A5C9E0,1891,800B4CB80,192775.23,US Dollar,192775.23,US Dollar,Cheque,0
9/1/2022 2:01,1922,800A5C9E0,1891,800B4CB80,32299.43,US Dollar,32299.43,US Dollar,Wire,0
